,name,year,country,type,quote,star_num
0,肖申克的救赎,1994,美国,犯罪 剧情,希望让人自由。,9.6
1,霸王别姬,1993,中国大陆,剧情 爱情 同性,风华绝代。,9.5
2,这个杀手不太冷,1994,法国,剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。,9.4
3,阿甘正传,1994,美国,剧情 爱情,一部美国近现代史。,9.4
4,美丽人生,1997,意大利,剧情 喜剧 爱情 战争,最美的谎言。,9.5
5,泰坦尼克号,1997,美国,剧情 爱情 灾难,失去的才是永恒的。 ,9.3
6,千与千寻,2001,日本,剧情 动画 奇幻,最好的宫崎骏，最好的久石让。 ,9.3
7,辛德勒的名单,1993,美国,剧情 历史 战争,拯救一个人，就是拯救整个世界。,9.4
8,盗梦空间,2010,美国,剧情 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。,9.3
9,机器人总动员,2008,美国,爱情 科幻 动画 冒险,小瓦力，大人生。,9.3
10,忠犬八公的故事,2009,美国,剧情,永远都不能忘记你所爱的人。,9.3
11,三傻大闹宝莱坞,2009,印度,剧情 喜剧 爱情 歌舞,英俊版憨豆，高情商版谢耳朵。,9.2
12,海上钢琴师,1998,意大利,剧情 音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,9.2
13,放牛班的春天,2004,法国,剧情 音乐,天籁一般的童声，是最接近上帝的存在。 ,9.2
14,大话西游之大圣娶亲,1995,香港,喜剧 爱情 奇幻 冒险,一生所爱。,9.2
15,楚门的世界,1998,美国,剧情 科幻,如果再也不能见到你，祝你早安，午安，晚安。,9.1
16,教父,1972,美国,剧情 犯罪,千万不要记恨你的对手，这样会让你失去理智。,9.2
17,龙猫,1988,日本,动画 奇幻 冒险,人人心中都有个龙猫，童年就永远不会消失。,9.1
18,星际穿越,2014,美国,剧情 科幻 冒险,爱是一种力量，让我们超越时空感知它的存在。,9.2
19,熔炉,2011,韩国,剧情,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,9.2
20,无间道,2002,香港,剧情 犯罪 悬疑,香港电影史上永不过时的杰作。,9.1
21,触不可及,2011,法国,剧情 喜剧,满满温情的高雅喜剧。,9.2
22,乱世佳人,1939,美国,剧情 历史 爱情 战争,Tomorrow is another day.,9.2
23,当幸福来敲门,2006,美国,剧情 传记 家庭,平民励志片。 ,9.0
24,怦然心动,2010,美国,剧情 喜剧 爱情,真正的幸福是来自内心深处。,8.9
25,天堂电影院,1988,意大利,剧情 爱情,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,9.1
26,疯狂动物城,2016,美国,喜剧 动画 冒险,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,9.1
27,十二怒汉,1957,美国,剧情,1957年的理想主义。 ,9.4
28,蝙蝠侠：黑暗骑士,2008,美国,剧情 动作 科幻 犯罪 惊悚,无尽的黑暗。,9.1
29,鬼子来了,2000,中国大陆,剧情 历史 战争,对敌人的仁慈，就是对自己残忍。,9.2
30,少年派的奇幻漂流,2012,美国,剧情 奇幻 冒险,瑰丽壮观、无人能及的冒险之旅。,9.0
31,活着,1994,中国大陆,剧情 历史 家庭,张艺谋最好的电影。,9.1
32,搏击俱乐部,1999,美国,剧情 动作 悬疑 惊悚,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,9.0
33,指环王3：王者无敌,2003,美国,剧情 动作 奇幻 冒险,史诗的终章。,9.1
34,天空之城,1986,日本,动画 奇幻 冒险,对天空的追逐，永不停止。 ,9.0
35,大话西游之月光宝盒,1995,香港,喜剧 爱情 奇幻 冒险,旷古烁今。,8.9
36,飞屋环游记,2009,美国,剧情 喜剧 动画 冒险,最后那些最无聊的事情，才是最值得怀念的。 ,8.9
37,控方证人,1957,美国,剧情 犯罪 悬疑,比利·怀德满分作品。,9.6
38,罗马假日,1953,美国,喜剧 剧情 爱情,爱情哪怕只有一天。,8.9
39,窃听风暴,2006,德国,剧情 悬疑,别样人生。,9.1
40,两杆大烟枪,1998,英国,剧情 喜剧 犯罪,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,9.1
41,飞越疯人院,1975,美国,剧情,自由万岁。,9.0
42,闻香识女人,1992,美国,剧情,史上最美的探戈。,8.9
43,哈尔的移动城堡,2004,日本,动画 奇幻 冒险,带着心爱的人在天空飞翔。,8.9
44,辩护人,2013,韩国,剧情,电影的现实意义大过电影本身。,9.2
45,摔跤吧！爸爸,2016,印度,剧情 传记 运动 家庭,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,9.1
46,V字仇杀队,2005,美国,剧情 动作 科幻 惊悚,一张面具背后的理想与革命。,8.8
47,海豚湾,2009,美国,纪录片,海豚的微笑，是世界上最高明的伪装。,9.3
48,死亡诗社,1989,美国,剧情,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,9.0
49,教父2,1974,美国,剧情 犯罪,优雅的孤独。,9.1
50,指环王2：双塔奇兵,2002,美国,剧情 动作 奇幻 冒险,承前启后的史诗篇章。,9.0
51,美丽心灵,2001,美国,传记 剧情,爱是一切逻辑和原由。,8.9
52,指环王1：魔戒再现,2001,新西兰,剧情 动作 奇幻 冒险,传说的开始。,8.9
53,饮食男女,1994,台湾,剧情 家庭,人生不能像做菜，把所有的料都准备好了才下锅。,9.1
54,情书,1995,日本,剧情 爱情,暗恋的极致。,8.8
55,美国往事,1984,意大利,犯罪 剧情,往事如烟，无处祭奠。,9.1
56,狮子王,1994,美国,剧情 动画 冒险 歌舞 家庭,动物版《哈姆雷特》。,8.9
57,素媛,2013,韩国,剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,9.1
58,钢琴家,2002,法国,剧情 传记 历史 战争 音乐,音乐能化解仇恨。,9.0
59,小鞋子,1997,伊朗,剧情 家庭 儿童,奔跑的孩子是天使。,9.2
60,七宗罪,1995,美国,剧情 犯罪 悬疑 惊悚,警察抓小偷，老鼠玩死猫。,8.7
61,天使爱美丽,2001,法国,喜剧 爱情,法式小清新。 ,8.7
62,被嫌弃的松子的一生,2006,日本,剧情 歌舞,以戏谑来戏谑戏谑。,8.9
63,致命魔术,2006,美国,剧情 悬疑 惊悚,孪生蝙蝠侠大战克隆金刚狼。,8.8
64,本杰明·巴顿奇事,2008,美国,剧情 爱情 奇幻,在时间之河里感受溺水之苦。,8.8
65,音乐之声,1965,美国,剧情 传记 爱情 歌舞,用音乐化解仇恨，让歌声串起美好。,8.9
66,西西里的美丽传说,2000,意大利,剧情 战争 情色,美丽无罪。,8.8
67,勇敢的心,1995,美国,动作 传记 剧情 历史 战争,史诗大片的典范。,8.8
68,拯救大兵瑞恩,1998,美国,剧情 历史 战争,美利坚精神输出大片No1.,8.9
69,黑客帝国,1999,美国,动作 科幻,视觉革命。,8.8
70,低俗小说,1994,美国,剧情 喜剧 犯罪,故事的高级讲法。,8.8
71,让子弹飞,2010,中国大陆,剧情 喜剧 动作 西部,你给我翻译翻译，神马叫做TMD的惊喜。,8.7
72,剪刀手爱德华,1990,美国,剧情 奇幻 爱情,浪漫忧郁的成人童话。,8.7
73,看不见的客人,2016,西班牙,剧情 犯罪 悬疑 惊悚,你以为你以为的就是你以为的。,8.7
74,沉默的羔羊,1991,美国,剧情 犯罪 惊悚,安东尼·霍普金斯的顶级表演。,8.7
75,蝴蝶效应,2004,美国,剧情 悬疑 科幻 惊悚,人的命运被自己瞬间的抉择改变。,8.7
76,入殓师,2008,日本,剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8
77,大闹天宫,1961,中国大陆,动画 奇幻,经典之作，历久弥新。,9.3
78,春光乍泄,1997,香港,剧情 爱情 同性,爱情纠缠，男女一致。,8.8
79,末代皇帝,1987,意大利,剧情 传记 历史,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,9.0
80,心灵捕手,1997,美国,剧情,人生中应该拥有这样的一段豁然开朗。,8.8
81,玛丽和马克思,2009,澳大利亚,剧情 动画,你是我最好的朋友，你是我唯一的朋友 。,8.9
82,阳光灿烂的日子,1994,中国大陆,剧情,一场华丽的意淫。,8.8
83,哈利·波特与魔法石,2001,美国,奇幻 冒险,童话世界的开端。,8.8
84,布达佩斯大饭店,2014,美国,剧情 喜剧 冒险,小清新的故事里注入了大历史的情怀。,8.8
85,幽灵公主,1997,日本,动画 奇幻 冒险,人与自然的战争史诗。,8.8
86,第六感,1999,美国,剧情 悬疑 惊悚,深入内心的恐怖，出人意料的结局。,8.8
87,禁闭岛,2010,美国,剧情 悬疑 惊悚,昔日翩翩少年，今日大腹便便。,8.7
88,重庆森林,1994,香港,剧情 爱情,寂寞没有期限。,8.7
89,猫鼠游戏,2002,美国,传记 犯罪 剧情,骗子大师和执著警探的你追我跑故事。 ,8.8
90,狩猎,2012,丹麦,剧情,人言可畏。,9.0
91,致命ID,2003,美国,剧情 悬疑 惊悚,最不可能的那个人永远是最可能的。,8.7
92,断背山,2005,美国,剧情 爱情 同性 家庭,每个人心中都有一座断背山。,8.7
93,大鱼,2003,美国,剧情 家庭 奇幻 冒险,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.7
